transaction_id,customer_id,transaction_date,amount,category,region,payment_method,is_refund
TXN-001,CUST-1042,2025-01-03,245.99,Software,Northeast,credit_card,False
TXN-002,CUST-1018,2025-01-03,89.50,Consulting,West,bank_transfer,False
TXN-003,CUST-1042,2025-01-05,1250.00,Software,Northeast,credit_card,False
TXN-004,CUST-1007,2025-01-06,,Hardware,Southeast,credit_card,False
TXN-005,CUST-1033,2025-01-07,450.00,Consulting,West,invoice,False
TXN-006,CUST-1018,2025-01-08,89.50,Consulting,West,bank_transfer,True
TXN-007,CUST-1055,2025-01-10,3200.00,Software,Midwest,credit_card,False
TXN-008,CUST-1042,2025-01-10,245.99,Software,Northeast,credit_card,False
TXN-009,,2025-01-12,175.00,Hardware,Southeast,invoice,False
TXN-010,CUST-1061,2025-01-14,520.75,Consulting,,bank_transfer,False
TXN-011,CUST-1007,2025-01-15,99.99,Software,Southeast,credit_card,False
TXN-012,CUST-1033,2025-01-16,450.00,Consulting,West,invoice,False
TXN-013,CUST-1042,2025-01-18,-245.99,Software,Northeast,credit_card,True
TXN-014,CUST-1080,2025-01-20,15750.00,Enterprise,Northeast,bank_transfer,False
TXN-015,CUST-1018,2025-01-21,89.50,Consulting,West,bank_transfer,False
TXN-016,CUST-1007,2025-01-22,340.00,Hardware,Southeast,,False
TXN-017,CUST-1055,2025-01-23,3200.00,Software,Midwest,credit_card,False
TXN-018,CUST-1042,2025-01-25,invalid_amount,Software,Northeast,credit_card,False
TXN-019,CUST-1033,2025-01-26,450.00,Consulting,West,invoice,False
TXN-020,CUST-1061,2025-01-28,520.75,Consulting,South,bank_transfer,False
TXN-021,CUST-1007,2025-01-29,99.99,Software,Southeast,credit_card,False
TXN-022,CUST-1080,2025-02-01,8900.00,Enterprise,Northeast,bank_transfer,False
TXN-023,CUST-1018,2025-02-03,89.50,Consulting,West,bank_transfer,False
TXN-024,CUST-1042,2025-02-05,245.99,Software,Northeast,credit_card,False
TXN-025,CUST-1033,2025-02-06,450.00,,West,invoice,False
