consultant_id,week_start,week_end,project_id,billable_hours,internal_hours,admin_hours,pto_hours,total_hours
C001,2024-04-01,2024-04-05,,0.0,14.0,2.2,0.0,16.2
C004,2024-04-01,2024-04-05,,0.0,14.8,2.6,0.0,17.4
C005,2024-04-01,2024-04-05,,0.0,13.4,2.9,0.0,16.3
C006,2024-04-01,2024-04-05,,0.0,10.0,4.4,0.0,14.4
C008,2024-04-01,2024-04-05,,0.0,15.5,2.8,0.0,18.3
C010,2024-04-01,2024-04-05,,0.0,11.2,4.7,0.0,15.9
C011,2024-04-01,2024-04-05,,0.0,11.7,6.0,0.0,17.7
C014,2024-04-01,2024-04-05,,0.0,9.7,3.1,0.0,12.8
C016,2024-04-01,2024-04-05,,0.0,9.3,5.3,0.0,14.6
C025,2024-04-01,2024-04-05,,0.0,15.9,4.6,0.0,20.5
C026,2024-04-01,2024-04-05,,0.0,15.5,2.5,0.0,18.0
C029,2024-04-01,2024-04-05,,0.0,12.4,3.1,0.0,15.5
C030,2024-04-01,2024-04-05,,0.0,10.1,4.0,0.0,14.1
C031,2024-04-01,2024-04-05,,0.0,8.7,3.7,0.0,12.4
C033,2024-04-01,2024-04-05,,0.0,10.1,5.0,0.0,15.1
C034,2024-04-01,2024-04-05,,0.0,8.1,2.3,0.0,10.4
C001,2024-04-08,2024-04-12,,0.0,12.7,2.6,0.0,15.3
C004,2024-04-08,2024-04-12,,0.0,15.2,5.2,0.0,20.4
C005,2024-04-08,2024-04-12,,0.0,8.8,5.1,0.0,13.9
C006,2024-04-08,2024-04-12,,0.0,13.0,2.6,0.0,15.6
C008,2024-04-08,2024-04-12,,0.0,15.1,2.1,0.0,17.2
C010,2024-04-08,2024-04-12,,0.0,15.4,5.2,0.0,20.6
C011,2024-04-08,2024-04-12,,0.0,8.9,5.5,0.0,14.4
C012,2024-04-08,2024-04-12,,0.0,14.5,3.8,0.0,18.3
C014,2024-04-08,2024-04-12,,0.0,9.5,3.3,0.0,12.8
C016,2024-04-08,2024-04-12,,0.0,10.2,4.6,0.0,14.8
C023,2024-04-08,2024-04-12,,0.0,8.9,5.9,0.0,14.8
C025,2024-04-08,2024-04-12,,0.0,10.1,2.4,0.0,12.5
C026,2024-04-08,2024-04-12,,0.0,12.1,3.5,0.0,15.6
