ClientCode,Name,Category,Amount,Date,Location,PaymentStatus
C-1009,Bridgeport Logistics,Advisory,55342.27,2025-09-10,South,pending
C-1001,Greenfield Organic Foods,Analytics,31326.31,2025-02-16,West,pending
C-1005,Metro Health Partners,Training,9626.64,2025-10-23,South,Pending
C-1010,Evergreen Consulting Group,Advisory,78000.24,2025-08-12,South,PAID
C-1002,Summit Peak Athletics,Support,42927.42,2025-03-24,South,PAID
C-1008,Crestview Hospitality,Advisory,41169.47,2025-02-15,South,Overdue
C-1001,Greenfield Organic Foods,Training,104977.26,2025-12-03,West,PAID
C-1008,Crestview Hospitality,Implementation,55834.71,2025-11-17,Midwest,Paid
C-1008,Crestview Hospitality,Analytics,60741.86,2025-12-24,East,Paid
C-1001,Greenfield Organic Foods,Advisory,51918.93,2025-10-10,South,Pending
C-1003,Coastal Realty Group,Analytics,112255.1,2025-09-13,Midwest,Overdue
C-1008,Crestview Hospitality,Training,57530.44,2025-05-05,East,Pending
C-1003,Coastal Realty Group,Support,36768.45,2025-02-05,Midwest,PAID
C-1005,Metro Health Partners,Implementation,71691.19,2025-10-28,South,PAID
C-1009,Bridgeport Logistics,Implementation,48379.16,2025-10-06,East,Overdue
C-1007,Beacon Financial Advisors,Training,41590.28,2025-01-23,South,PAID
C-1003,Coastal Realty Group,Analytics,115954.81,2025-09-11,Midwest,Pending
C-1008,Crestview Hospitality,Advisory,65484.37,2025-02-21,East,PAID
C-1003,Coastal Realty Group,Support,58991.42,2025-02-08,South,Overdue
C-1009,Bridgeport Logistics,Analytics,114726.05,2025-07-14,West,PAID
C-1005,Metro Health Partners,Advisory,90878.13,2025-04-27,West,PAID
C-1001,Greenfield Organic Foods,Support,42303.09,2025-01-24,Midwest,Paid
C-1009,Bridgeport Logistics,Implementation,70081.73,2025-07-30,East,Pending
C-1010,Evergreen Consulting Group,Implementation,32695.43,2025-12-16,East,pending
C-1005,Metro Health Partners,Support,6080.7,2025-12-08,East,PAID
C-1010,Evergreen Consulting Group,Support,78477.95,2025-06-03,South,PAID
C-1007,Beacon Financial Advisors,Analytics,17265.13,2025-09-05,Midwest,PAID
C-1005,Metro Health Partners,Support,117463.62,2025-01-12,West,PAID
C-1001,Greenfield Organic Foods,Implementation,90694.8,2025-11-07,Midwest,Overdue
C-1005,Metro Health Partners,Advisory,91891.39,2025-12-14,West,Pending
C-1010,Evergreen Consulting Group,Support,89221.37,2025-07-06,Midwest,Paid
C-1003,Coastal Realty Group,Analytics,105792.97,2025-10-04,Midwest,Overdue
C-1008,Crestview Hospitality,Advisory,90854.33,2025-06-01,South,Overdue
C-1004,Pinnacle Software Solutions,Analytics,88284.92,2025-12-13,Midwest,PAID
C-1005,Metro Health Partners,Support,19212.7,2025-10-02,South,Overdue
C-1002,Summit Peak Athletics,Analytics,31889.52,2025-12-12,Midwest,Paid
C-1002,Summit Peak Athletics,Training,99743.37,2025-11-22,West,Overdue
C-1005,Metro Health Partners,Analytics,18353.86,2025-09-10,East,Pending
C-1009,Bridgeport Logistics,Training,72544.14,2025-08-03,West,Pending
C-1005,Metro Health Partners,Training,84382.28,2025-01-17,South,Pending
C-1002,Summit Peak Athletics,Advisory,47243.52,2025-12-18,South,Overdue
