invoice_id,client_name,client_size,client_industry,invoice_amount,service_type,issue_date,issue_month,issue_quarter,issue_day_of_week,payment_terms_days,project_duration_weeks,invoices_ytd,prior_late_payments,prior_late_rate,has_purchase_order,contact_responsiveness,is_late,days_late,late_payment_probability,risk_flag,risk_tier
INV-00729,Acme Corp,enterprise,manufacturing,122263.36,analytics_consulting,2024-11-19,11,4,Tuesday,60,16,13,8,0.62,1,1,1,86,0.9031,1,critical
INV-01354,Echo Ventures,small,retail,6917.91,process_automation,2024-11-11,11,4,Monday,60,8,5,0,0.0,1,1,1,86,0.8921,1,critical
INV-00430,Cedar Solutions,small,technology,10022.19,process_automation,2024-10-17,10,4,Thursday,60,13,3,0,0.0,1,2,1,84,0.887,1,critical
INV-01254,Jade Consulting,small,professional_services,10685.34,process_automation,2024-11-15,11,4,Friday,60,10,7,4,0.57,0,1,1,53,0.8858,1,critical
INV-00429,Falcon Industries,mid-market,manufacturing,60358.38,training,2023-11-29,11,4,Wednesday,60,15,3,3,1.0,0,4,1,19,0.8792,1,critical
INV-01217,Birch Holdings,mid-market,finance,49430.81,reporting_setup,2024-12-26,12,4,Thursday,60,13,2,2,1.0,1,1,1,16,0.8741,1,critical
INV-00088,Jade Consulting,small,professional_services,13823.19,analytics_consulting,2024-11-30,11,4,Saturday,60,5,8,7,0.88,0,4,1,2,0.8706,1,critical
INV-00082,Delta Group,enterprise,healthcare,65873.43,analytics_consulting,2024-12-15,12,4,Sunday,60,14,2,1,0.5,1,4,1,85,0.8671,1,critical
INV-01033,Echo Ventures,small,retail,4570.16,reporting_setup,2023-09-23,9,3,Saturday,30,6,5,4,0.8,0,2,1,5,0.8625,1,critical
INV-00682,Cedar Solutions,small,technology,12868.21,analytics_consulting,2024-10-27,10,4,Sunday,60,7,3,2,0.67,0,2,1,3,0.8606,1,critical
INV-00798,Horizon LLC,small,technology,13142.74,analytics_consulting,2024-10-12,10,4,Saturday,45,16,3,2,0.67,1,2,1,55,0.8558,1,critical
INV-01875,Jade Consulting,small,professional_services,11813.95,reporting_setup,2023-10-07,10,4,Saturday,15,10,5,4,0.8,0,1,1,81,0.85,1,critical
INV-01420,Echo Ventures,small,retail,10358.45,analytics_consulting,2024-12-27,12,4,Friday,60,12,6,3,0.5,1,1,1,33,0.849,1,critical
INV-01445,Birch Holdings,mid-market,finance,68910.76,training,2024-12-30,12,4,Monday,45,10,4,3,0.75,0,1,1,54,0.8483,1,critical
INV-01297,Acme Corp,enterprise,manufacturing,106365.34,process_automation,2024-12-08,12,4,Sunday,60,15,11,6,0.55,1,4,1,19,0.8444,1,critical
INV-00722,Birch Holdings,mid-market,finance,51180.18,data_migration,2024-05-10,5,2,Friday,60,1,9,8,0.89,0,1,1,72,0.8441,1,critical
INV-01825,Cedar Solutions,small,technology,7415.08,data_migration,2024-10-31,10,4,Thursday,60,10,3,3,1.0,1,1,1,41,0.844,1,critical
INV-00471,Echo Ventures,small,retail,3019.15,process_automation,2024-03-16,3,1,Saturday,15,14,14,5,0.36,1,3,1,84,0.8415,1,critical
INV-01507,Birch Holdings,mid-market,finance,62553.38,training,2023-11-15,11,4,Wednesday,15,10,4,4,1.0,1,2,1,62,0.8413,1,critical
INV-00992,Jade Consulting,small,professional_services,3200.13,data_migration,2023-10-28,10,4,Saturday,60,1,15,8,0.53,0,1,1,35,0.8411,1,critical
INV-01195,Birch Holdings,mid-market,finance,65649.13,reporting_setup,2024-05-02,5,2,Thursday,60,15,5,4,0.8,0,1,1,61,0.8411,1,critical
INV-00611,Cedar Solutions,small,technology,3192.15,analytics_consulting,2024-12-05,12,4,Thursday,45,5,3,3,1.0,0,1,1,62,0.8409,1,critical
INV-01942,Cedar Solutions,small,technology,12842.55,process_automation,2023-10-05,10,4,Thursday,30,3,2,2,1.0,0,5,1,82,0.8406,1,critical
INV-00288,Jade Consulting,small,professional_services,7061.89,process_automation,2023-09-09,9,3,Saturday,60,16,2,0,0.0,1,2,1,83,0.8394,1,critical
INV-00719,Echo Ventures,small,retail,14354.22,analytics_consulting,2023-04-02,4,2,Sunday,45,6,2,2,1.0,0,2,1,8,0.8394,1,critical
INV-01488,Echo Ventures,small,retail,6599.24,analytics_consulting,2024-06-26,6,2,Wednesday,60,4,8,6,0.75,1,3,1,42,0.8391,1,critical
INV-00431,Echo Ventures,small,retail,5161.85,process_automation,2024-12-28,12,4,Saturday,60,15,12,8,0.67,0,4,1,3,0.8386,1,critical
INV-01139,Keystone Retail,enterprise,retail,64392.36,process_automation,2024-12-04,12,4,Wednesday,60,13,16,7,0.44,1,4,1,23,0.8379,1,critical
INV-00944,Delta Group,enterprise,healthcare,164202.25,data_migration,2024-02-05,2,1,Monday,60,14,3,3,1.0,0,1,1,54,0.8378,1,critical
INV-01898,Cedar Solutions,small,technology,11122.84,process_automation,2024-11-28,11,4,Thursday,30,11,4,3,0.75,1,5,1,48,0.837,1,critical
INV-01687,Echo Ventures,small,retail,4132.33,training,2024-03-07,3,1,Thursday,30,10,14,5,0.36,0,1,1,26,0.8368,1,critical
INV-00048,Jade Consulting,small,professional_services,7939.23,data_migration,2024-12-13,12,4,Friday,60,12,10,6,0.6,0,4,1,70,0.8355,1,critical
INV-01961,Jade Consulting,small,professional_services,8124.39,training,2023-04-23,4,2,Sunday,15,5,3,3,1.0,1,1,1,68,0.8321,1,critical
