company_size,industry,lead_source,website_visits,pages_per_session,email_opens,email_clicks,content_downloads,webinar_attended,demo_requested,days_since_first_touch,days_since_last_activity,converted
201-500,Professional Services,Paid Ads,5,9.0,0,0,0,0,0,73,58,0
51-200,Healthcare,Referral,4,7.4,3,1,1,0,0,175,52,0
501-1000,Education,Referral,3,1.7,2,0,2,0,0,78,84,0
201-500,Retail,Organic Search,3,6.1,1,0,3,0,0,30,84,0
1-10,Technology,Organic Search,6,3.3,4,1,2,0,1,136,73,0
1000+,Professional Services,Direct,8,11.6,7,2,0,0,0,78,71,0
201-500,Manufacturing,Referral,7,2.2,3,3,2,0,1,72,30,1
201-500,Technology,Direct,5,7.6,1,0,0,0,0,46,78,0
1-10,Technology,Social Media,11,6.3,7,3,0,0,0,135,32,1
51-200,Retail,Event,4,7.4,5,0,1,1,0,88,68,0
11-50,Technology,Organic Search,6,11.5,3,2,3,1,0,87,43,1
1000+,Financial Services,Organic Search,1,4.8,2,2,4,0,0,138,45,0
51-200,Technology,Social Media,5,9.2,4,1,0,0,1,65,72,0
501-1000,Healthcare,Referral,7,5.9,4,1,1,0,1,119,12,0
51-200,Healthcare,Organic Search,4,8.3,2,0,1,1,0,31,76,0
11-50,Manufacturing,Social Media,6,5.0,4,1,3,0,1,103,73,0
51-200,Financial Services,Organic Search,6,3.5,1,1,1,0,1,77,42,0
1-10,Technology,Organic Search,8,1.9,1,1,1,0,1,92,58,0
501-1000,Retail,Direct,8,2.1,3,2,1,1,0,66,23,0
51-200,Healthcare,Referral,9,11.6,4,0,4,1,0,24,69,0
201-500,Retail,Paid Ads,6,9.7,5,3,1,0,1,165,10,0
11-50,Technology,Organic Search,3,3.7,4,0,2,0,0,73,66,0
1000+,Technology,Direct,6,6.8,7,0,1,0,0,134,61,0
501-1000,Financial Services,Direct,1,8.9,3,1,2,0,0,163,22,0
201-500,Healthcare,Paid Ads,3,4.9,4,1,1,0,0,80,73,0
11-50,Healthcare,Paid Ads,6,5.8,1,0,2,0,0,147,25,0
51-200,Professional Services,Social Media,9,8.9,4,1,1,0,0,79,48,1
1-10,Healthcare,Organic Search,9,3.5,2,1,0,1,0,12,77,0
11-50,Manufacturing,Referral,2,6.8,2,0,0,0,0,158,5,0
201-500,Manufacturing,Organic Search,5,3.3,6,0,0,0,0,151,36,0
201-500,Technology,Organic Search,3,1.0,1,0,2,0,0,102,56,0
1000+,Manufacturing,Social Media,5,8.6,2,1,2,0,0,149,15,1
11-50,Financial Services,Paid Ads,2,8.8,3,2,1,0,0,120,46,0
11-50,Healthcare,Referral,4,12.0,3,0,2,0,0,144,57,0
51-200,Technology,Paid Ads,3,3.0,3,0,0,1,1,11,78,0
11-50,Professional Services,Referral,3,9.1,3,0,0,0,0,146,26,0
1-10,Education,Direct,4,11.4,3,0,1,0,0,39,74,0
51-200,Technology,Referral,4,8.1,3,1,3,0,0,176,57,1
11-50,Retail,Referral,3,11.6,7,0,1,0,0,173,45,1
201-500,Professional Services,Referral,9,11.9,1,1,2,0,0,10,53,1
51-200,Financial Services,Direct,2,9.8,5,1,0,0,0,117,88,0
501-1000,Professional Services,Social Media,4,12.0,5,2,3,0,0,69,59,0
201-500,Retail,Organic Search,2,7.9,9,0,3,0,0,46,38,0
11-50,Education,Organic Search,9,6.5,0,0,5,0,0,174,89,1
501-1000,Education,Referral,8,11.1,4,0,2,1,0,72,62,1
501-1000,Technology,Event,4,10.1,3,1,0,1,0,99,24,1
11-50,Healthcare,Organic Search,4,2.2,5,1,0,0,0,57,54,0
11-50,Manufacturing,Referral,5,4.3,2,2,0,1,0,123,87,1
201-500,Technology,Social Media,4,3.9,1,0,6,0,0,46,62,0
1-10,Financial Services,Paid Ads,7,10.4,2,1,1,1,0,65,68,0
11-50,Education,Social Media,6,3.6,3,0,2,0,0,127,59,1
1-10,Technology,Paid Ads,2,4.3,0,0,1,0,0,38,76,1
201-500,Healthcare,Social Media,8,6.7,3,0,2,0,0,141,7,0
201-500,Professional Services,Event,2,1.8,0,0,2,1,0,176,72,0
201-500,Financial Services,Direct,5,11.6,2,2,3,1,0,127,81,1
201-500,Manufacturing,Social Media,3,6.4,4,2,5,0,0,65,2,0
51-200,Education,Paid Ads,3,3.1,3,0,1,0,1,33,70,0
51-200,Manufacturing,Social Media,7,4.0,3,0,0,0,0,101,45,0
1-10,Technology,Event,4,9.8,1,1,0,1,0,79,34,0
1-10,Technology,Paid Ads,8,8.0,0,0,1,0,0,44,9,0
201-500,Education,Paid Ads,5,6.1,2,1,1,0,0,66,28,0
51-200,Financial Services,Organic Search,4,4.6,6,0,0,0,0,174,60,0
51-200,Manufacturing,Social Media,5,10.9,0,0,2,0,0,31,46,0
201-500,Technology,Paid Ads,6,9.5,1,0,1,0,0,47,5,0
51-200,Healthcare,Organic Search,5,8.9,2,0,1,1,0,63,27,1
51-200,Education,Referral,5,5.9,5,0,1,1,0,164,2,0
51-200,Manufacturing,Direct,4,11.8,2,1,0,0,0,65,32,0
11-50,Education,Organic Search,6,8.8,4,2,2,1,0,53,81,1
1-10,Financial Services,Referral,2,5.7,5,3,2,0,0,54,68,0
51-200,Manufacturing,Direct,3,11.6,3,1,1,0,0,170,82,0
11-50,Professional Services,Direct,0,10.9,3,0,2,0,1,64,14,1
51-200,Healthcare,Paid Ads,4,9.1,2,1,0,0,1,66,56,0
501-1000,Financial Services,Organic Search,3,9.4,2,1,1,1,1,66,27,1
11-50,Professional Services,Paid Ads,2,5.7,1,1,2,0,0,157,41,0
1-10,Healthcare,Paid Ads,7,6.6,4,0,1,0,0,128,87,0
11-50,Manufacturing,Referral,2,3.1,2,1,3,0,0,108,74,0
11-50,Education,Referral,6,7.5,4,0,0,0,0,39,62,1
201-500,Technology,Event,5,5.1,5,3,2,0,0,21,86,0
51-200,Financial Services,Social Media,3,4.8,2,0,4,0,0,16,44,1
201-500,Technology,Direct,6,11.4,4,1,3,1,1,53,4,1
201-500,Healthcare,Social Media,5,2.8,2,1,2,0,0,142,82,0
51-200,Financial Services,Referral,4,10.1,2,1,2,0,0,137,9,0
501-1000,Retail,Organic Search,8,4.1,0,0,1,0,0,141,23,0
11-50,Technology,Event,5,1.3,1,0,3,0,0,120,81,1
1-10,Retail,Social Media,4,1.4,2,1,1,0,0,93,79,0
1-10,Financial Services,Paid Ads,3,5.7,5,0,0,0,1,64,8,0
201-500,Healthcare,Organic Search,4,6.0,3,1,1,1,0,131,77,0
51-200,Financial Services,Social Media,5,4.5,2,2,4,0,0,35,64,0
11-50,Retail,Organic Search,3,8.4,3,0,2,1,0,13,9,0
51-200,Healthcare,Event,4,6.3,5,0,3,1,0,149,49,0
11-50,Healthcare,Organic Search,9,1.8,5,0,2,0,0,85,23,0
201-500,Professional Services,Referral,4,4.8,4,2,3,0,0,112,46,0
51-200,Manufacturing,Paid Ads,4,2.1,1,0,0,0,0,172,16,0
11-50,Financial Services,Referral,3,1.7,0,0,0,0,0,123,8,0
11-50,Education,Event,5,3.3,1,1,3,0,0,137,58,0
51-200,Financial Services,Paid Ads,1,8.7,2,1,2,0,0,86,65,1
11-50,Technology,Organic Search,5,8.7,0,0,2,0,0,58,17,0
1-10,Manufacturing,Organic Search,5,10.5,2,2,0,0,0,63,54,0
1-10,Technology,Organic Search,4,9.3,2,0,1,0,1,162,44,0
1000+,Financial Services,Referral,5,6.9,4,0,2,0,0,69,83,0
1000+,Retail,Organic Search,3,4.4,0,0,2,1,1,168,50,1
201-500,Technology,Paid Ads,12,1.1,5,2,2,1,0,6,43,1
11-50,Professional Services,Social Media,4,8.1,1,0,1,1,0,53,0,0
1000+,Education,Direct,9,4.2,4,1,2,0,0,169,82,1
201-500,Retail,Organic Search,6,3.8,3,0,1,0,0,104,59,0
201-500,Retail,Direct,4,11.7,4,4,2,0,0,66,16,1
51-200,Retail,Direct,6,2.9,5,2,1,0,0,32,0,0
11-50,Education,Social Media,3,1.4,1,1,1,0,0,87,18,0
1-10,Financial Services,Social Media,4,11.4,3,0,1,1,0,172,45,0
1000+,Technology,Referral,4,4.4,4,1,3,1,0,64,85,0
51-200,Manufacturing,Organic Search,0,5.3,0,0,0,1,0,87,55,0
11-50,Manufacturing,Direct,2,1.9,4,0,0,0,0,64,8,0
11-50,Technology,Direct,7,5.4,1,1,0,0,1,155,17,0
51-200,Retail,Paid Ads,4,11.7,3,0,1,0,0,123,21,0
11-50,Technology,Organic Search,5,8.6,6,0,0,1,1,111,6,0
501-1000,Education,Organic Search,6,6.2,5,1,1,0,0,120,12,0
201-500,Financial Services,Referral,2,4.4,2,0,3,1,0,74,8,1
201-500,Technology,Direct,3,5.0,2,2,1,1,0,146,63,1
51-200,Technology,Organic Search,3,7.7,1,1,1,0,0,110,61,0
51-200,Financial Services,Social Media,9,3.8,1,1,3,0,0,13,70,0
51-200,Financial Services,Event,9,2.7,1,1,1,1,0,67,16,1
51-200,Technology,Paid Ads,3,8.7,8,2,2,0,0,157,81,0
1-10,Financial Services,Social Media,2,10.6,2,0,0,0,1,46,33,1
51-200,Technology,Paid Ads,6,10.9,3,1,2,0,0,172,13,1
1-10,Healthcare,Organic Search,5,10.3,2,1,1,0,0,146,14,0
51-200,Healthcare,Referral,3,6.8,5,1,1,1,0,178,28,0
11-50,Financial Services,Organic Search,6,9.7,3,2,2,0,0,143,7,1
1-10,Financial Services,Social Media,4,11.2,5,0,2,0,0,24,28,0
1-10,Technology,Paid Ads,3,1.3,3,1,0,1,0,35,59,0
51-200,Technology,Event,3,5.5,2,1,0,0,0,88,87,0
11-50,Financial Services,Referral,4,3.2,3,1,1,0,0,65,0,0
1000+,Professional Services,Direct,7,12.0,6,3,2,1,0,169,52,0
51-200,Education,Social Media,8,11.2,4,1,1,0,0,152,21,0
11-50,Education,Social Media,4,9.8,5,1,2,0,0,136,30,0
51-200,Manufacturing,Paid Ads,1,4.3,5,1,6,0,0,169,57,0
1-10,Manufacturing,Paid Ads,2,11.5,2,0,1,0,0,11,26,0
1000+,Financial Services,Social Media,9,1.3,2,1,4,0,1,126,39,1
51-200,Professional Services,Social Media,3,3.1,2,0,1,0,0,156,28,0
201-500,Professional Services,Social Media,4,7.8,4,2,2,0,0,175,32,0
1-10,Professional Services,Organic Search,5,9.7,1,1,2,1,0,151,64,0
51-200,Professional Services,Organic Search,8,10.7,5,1,0,0,1,145,26,0
51-200,Healthcare,Organic Search,3,4.3,3,1,0,0,0,140,49,0
1000+,Professional Services,Organic Search,6,5.3,4,3,2,0,0,23,71,0
51-200,Professional Services,Event,6,6.0,5,0,2,0,1,74,56,1
51-200,Financial Services,Referral,6,1.3,4,0,2,0,1,157,68,1
11-50,Education,Referral,1,10.5,0,0,3,0,1,114,42,0
11-50,Technology,Organic Search,5,4.7,4,0,2,1,0,47,41,1
51-200,Education,Event,3,3.2,5,1,1,1,0,129,2,0
51-200,Professional Services,Organic Search,5,5.5,2,0,1,0,1,5,63,1
1-10,Technology,Organic Search,3,8.8,4,2,1,0,0,72,61,0
501-1000,Retail,Event,6,10.6,3,1,7,0,0,136,45,0
501-1000,Technology,Social Media,5,3.4,0,0,0,0,1,141,65,1
1-10,Professional Services,Organic Search,7,2.9,1,1,0,0,0,92,59,0
51-200,Professional Services,Organic Search,6,11.4,2,1,1,1,0,49,16,0
1-10,Retail,Paid Ads,6,7.1,1,1,1,1,0,89,20,0
201-500,Professional Services,Social Media,7,5.0,1,0,0,0,0,33,58,0
11-50,Technology,Organic Search,6,3.2,1,1,1,0,0,168,8,0
201-500,Financial Services,Referral,3,11.9,3,0,0,0,0,154,78,0
201-500,Healthcare,Paid Ads,8,8.9,2,2,1,0,1,130,31,1
201-500,Technology,Referral,5,3.4,8,1,3,0,1,61,54,1
1-10,Healthcare,Social Media,7,2.0,1,1,0,0,0,26,46,0
1000+,Financial Services,Event,5,3.2,3,2,0,0,0,11,60,0
11-50,Healthcare,Organic Search,10,3.7,1,0,2,0,0,69,32,0
1-10,Healthcare,Organic Search,5,2.2,3,1,2,1,0,150,63,0
51-200,Professional Services,Organic Search,4,3.5,1,1,1,0,1,67,15,0
11-50,Financial Services,Organic Search,1,2.3,4,1,1,0,1,144,29,0
501-1000,Professional Services,Paid Ads,2,5.2,6,0,0,0,0,32,3,0
501-1000,Healthcare,Organic Search,5,6.3,2,0,0,0,0,144,13,0
11-50,Financial Services,Event,6,6.0,4,3,1,0,0,14,4,0
1000+,Manufacturing,Event,3,10.1,4,0,2,0,0,62,42,0
11-50,Healthcare,Social Media,4,3.8,3,0,0,1,0,27,6,0
51-200,Financial Services,Paid Ads,5,10.8,3,1,1,0,0,108,20,0
11-50,Manufacturing,Social Media,6,11.0,4,0,2,1,0,34,43,1
1000+,Technology,Referral,5,11.6,6,1,2,0,0,3,61,1
11-50,Healthcare,Social Media,4,3.0,1,1,1,0,0,58,2,0
1-10,Manufacturing,Organic Search,9,3.7,4,1,2,0,0,1,64,0
51-200,Healthcare,Direct,4,7.9,1,1,3,0,0,68,46,0
1000+,Professional Services,Paid Ads,1,2.5,3,0,0,0,0,47,0,1
501-1000,Financial Services,Paid Ads,3,1.9,2,0,3,0,0,168,8,1
201-500,Education,Paid Ads,5,1.8,3,0,2,0,0,95,85,0
501-1000,Professional Services,Organic Search,5,7.7,4,1,1,0,0,79,40,0
501-1000,Education,Direct,5,9.9,4,1,3,0,0,108,83,0
51-200,Professional Services,Social Media,5,3.8,1,0,2,0,0,25,46,0
11-50,Technology,Direct,3,11.3,4,0,1,1,0,24,11,0
201-500,Manufacturing,Direct,6,9.7,1,1,1,0,0,28,65,0
201-500,Technology,Referral,6,1.9,4,1,1,0,0,156,43,1
