date,region,product_line,rep_id,revenue,units_sold,discount_pct,customer_satisfaction,deal_cycle_days
2024-01-01,Northeast,Enterprise SaaS,NO-001,62948.46,79,0.1436,3.67,44
2024-01-01,Northeast,Enterprise SaaS,NO-002,64918.93,82,0.0569,4.14,36
2024-01-01,Northeast,Enterprise SaaS,NO-003,69709.98,80,0.0399,3.97,49
2024-01-01,Northeast,Enterprise SaaS,NO-004,52258.58,64,0.036,4.06,37
2024-01-01,Northeast,Enterprise SaaS,NO-005,57989.34,73,0.0801,4.03,52
2024-01-01,Northeast,Enterprise SaaS,NO-006,55839.75,66,0.1137,3.72,39
2024-01-01,Northeast,Enterprise SaaS,NO-007,59298.53,63,0.1136,4.04,51
2024-01-01,Northeast,Enterprise SaaS,NO-008,55436.42,62,0.1383,3.51,49
2024-01-01,Northeast,Enterprise SaaS,NO-009,59907.0,67,0.0754,3.78,41
2024-01-01,Northeast,Enterprise SaaS,NO-010,46783.73,57,0.0388,4.28,44
2024-01-01,Northeast,Enterprise SaaS,NO-011,56603.72,55,0.0254,3.85,41
2024-01-01,Northeast,Enterprise SaaS,NO-012,71398.42,90,0.0421,4.33,29
2024-01-01,Northeast,SMB Platform,NO-001,41544.7,122,0.0214,4.14,23
2024-01-01,Northeast,SMB Platform,NO-002,43013.28,136,0.0565,4.47,13
2024-01-01,Northeast,SMB Platform,NO-003,35531.42,106,0.0208,3.83,19
2024-01-01,Northeast,SMB Platform,NO-004,42704.66,172,0.1463,3.52,16
2024-01-01,Northeast,SMB Platform,NO-005,42634.28,147,0.0936,3.77,17
2024-01-01,Northeast,SMB Platform,NO-006,48715.74,167,0.0603,4.66,15
2024-01-01,Northeast,SMB Platform,NO-007,46063.47,157,0.0793,4.1,16
2024-01-01,Northeast,SMB Platform,NO-008,38651.04,122,0.1357,4.18,18
2024-01-01,Northeast,SMB Platform,NO-009,51222.97,166,0.171,4.18,24
2024-01-01,Northeast,SMB Platform,NO-010,36903.03,132,0.0208,4.14,17
2024-01-01,Northeast,SMB Platform,NO-011,39615.62,124,0.0909,3.56,14
2024-01-01,Northeast,SMB Platform,NO-012,53209.53,144,0.0553,3.94,21
2024-01-01,Northeast,Professional Services,NO-001,36481.59,29,0.0347,3.77,30
2024-01-01,Northeast,Professional Services,NO-002,35968.6,35,0.0545,4.13,37
2024-01-01,Northeast,Professional Services,NO-003,33184.51,21,0.0661,4.34,29
2024-01-01,Northeast,Professional Services,NO-004,31323.06,31,0.012,3.81,27
2024-01-01,Northeast,Professional Services,NO-005,30234.32,22,0.0465,4.02,21
2024-01-01,Northeast,Professional Services,NO-006,24480.66,20,0.0309,4.21,30
2024-01-01,Northeast,Professional Services,NO-007,33527.16,28,0.0374,3.86,23
2024-01-01,Northeast,Professional Services,NO-008,35803.99,31,0.0104,4.03,31
2024-01-01,Northeast,Professional Services,NO-009,31938.97,26,0.0344,4.03,31
2024-01-01,Northeast,Professional Services,NO-010,27215.18,18,0.1185,3.75,29
2024-01-01,Northeast,Professional Services,NO-011,32349.41,30,0.0637,4.53,32
2024-01-01,Northeast,Professional Services,NO-012,33883.7,28,0.0558,3.98,37
2024-01-01,Southeast,Enterprise SaaS,SO-001,51413.35,64,0.0235,4.58,50
2024-01-01,Southeast,Enterprise SaaS,SO-002,55015.95,64,0.0207,4.32,24
2024-01-01,Southeast,Enterprise SaaS,SO-003,54346.16,66,0.1525,3.27,58
2024-01-01,Southeast,Enterprise SaaS,SO-004,60787.21,67,0.0916,4.01,37
2024-01-01,Southeast,Enterprise SaaS,SO-005,48970.4,59,0.1091,3.65,37
2024-01-01,Southeast,Enterprise SaaS,SO-006,63576.98,74,0.099,4.6,43
2024-01-01,Southeast,Enterprise SaaS,SO-007,51284.83,57,0.1085,3.39,37
2024-01-01,Southeast,Enterprise SaaS,SO-008,51374.99,62,0.0566,4.07,51
2024-01-01,Southeast,Enterprise SaaS,SO-009,64685.89,70,0.0436,4.23,42
2024-01-01,Southeast,Enterprise SaaS,SO-010,45806.95,43,0.0514,4.27,42
2024-01-01,Southeast,Enterprise SaaS,SO-011,64552.66,86,0.0616,4.04,37
2024-01-01,Southeast,Enterprise SaaS,SO-012,40696.78,43,0.0296,4.23,35
2024-01-01,Southeast,SMB Platform,SO-001,30920.27,78,0.1175,3.65,19
2024-01-01,Southeast,SMB Platform,SO-002,41397.63,134,0.1699,3.59,22
2024-01-01,Southeast,SMB Platform,SO-003,32526.27,105,0.1466,4.08,14
2024-01-01,Southeast,SMB Platform,SO-004,39865.46,128,0.0697,3.85,16
2024-01-01,Southeast,SMB Platform,SO-005,41203.55,116,0.0833,4.14,16
2024-01-01,Southeast,SMB Platform,SO-006,35438.89,110,0.1351,3.97,17
2024-01-01,Southeast,SMB Platform,SO-007,36155.65,117,0.0269,4.44,19
2024-01-01,Southeast,SMB Platform,SO-008,36160.59,109,0.112,3.42,22
2024-01-01,Southeast,SMB Platform,SO-009,31053.71,82,0.1872,3.17,16
2024-01-01,Southeast,SMB Platform,SO-010,40127.28,135,0.0934,4.41,14
2024-01-01,Southeast,SMB Platform,SO-011,48079.65,147,0.0886,4.01,23
2024-01-01,Southeast,SMB Platform,SO-012,30427.86,90,0.0683,4.34,9
2024-01-01,Southeast,Professional Services,SO-001,19309.4,14,0.0781,4.03,23
2024-01-01,Southeast,Professional Services,SO-002,28640.21,24,0.0505,3.96,25
2024-01-01,Southeast,Professional Services,SO-003,27487.29,20,0.0588,4.29,34
2024-01-01,Southeast,Professional Services,SO-004,20553.13,18,0.0715,3.72,31
2024-01-01,Southeast,Professional Services,SO-005,35348.85,33,0.0578,4.24,41
2024-01-01,Southeast,Professional Services,SO-006,24382.49,20,0.1182,3.72,26
2024-01-01,Southeast,Professional Services,SO-007,32593.3,22,0.0598,3.83,33
2024-01-01,Southeast,Professional Services,SO-008,31313.54,21,0.0798,4.09,25
2024-01-01,Southeast,Professional Services,SO-009,31014.75,26,0.0463,4.14,26
2024-01-01,Southeast,Professional Services,SO-010,20809.44,16,0.2102,4.33,27
2024-01-01,Southeast,Professional Services,SO-011,27053.25,21,0.0464,3.61,34
2024-01-01,Southeast,Professional Services,SO-012,32558.36,26,0.0985,3.79,41
2024-01-01,Midwest,Enterprise SaaS,MI-001,47212.28,49,0.1107,4.23,42
