month,active_customers,new_customers,churned_customers,reactivated_customers,mrr,arpu,expansion_revenue,contraction_revenue,gross_churn_rate,net_revenue_churn,ltv,cac,ltv_cac_ratio,nps_score,support_tickets_opened,support_tickets_resolved,avg_resolution_hours,marketing_spend
2024-01,195,18,9,1,78248.1,401.27,2204.88,524.89,0.0484,0.0268,5805.07,795.92,7.29,42,50,46,20.2,14326.61
2024-01,202,14,9,2,82287.03,407.36,3599.05,1030.85,0.0457,0.0135,6241.68,1100.18,5.67,30,63,53,20.7,15402.51
2024-03,213,23,14,2,86836.68,407.68,1982.16,880.38,0.0686,0.0509,4158.38,922.74,4.51,44,43,36,15.5,21222.95
2024-03,224,20,11,2,92840.1,414.46,3885.14,1556.6,0.0512,0.0252,5670.63,716.4,7.92,46,35,30,17.5,14327.91
2024-04,234,20,12,2,97880.14,418.29,2460.84,958.95,0.0531,0.0375,5514.47,722.41,7.63,36,67,57,13.9,14448.11
2024-05,237,14,12,1,102384.75,432.0,4638.01,1726.88,0.0511,0.0179,5922.04,1530.65,3.87,49,37,33,17.6,21429.1
2024-06,249,20,10,2,109605.26,440.18,4092.24,1870.59,0.0418,0.0163,7364.24,814.22,9.04,41,44,42,10.0,16284.34
2024-07,252,14,11,0,114195.03,453.15,4425.98,697.49,0.0442,0.0064,7180.45,1129.73,6.36,46,69,66,16.4,15816.19
2024-08,265,22,11,2,125283.85,472.77,6215.77,590.64,0.0433,-0.0037,7641.67,743.08,10.28,42,68,60,16.5,16347.65
2024-09,263,9,13,2,129204.19,491.27,7376.15,2058.34,0.0487,0.0027,7062.96,1748.79,4.04,46,72,70,14.7,15739.14
2024-10,276,25,16,4,139718.01,506.22,7331.01,1806.81,0.0599,0.0124,5913.34,576.35,10.26,41,61,60,19.3,14408.72
2024-11,283,16,11,2,147253.09,520.33,5510.43,843.64,0.0396,0.0081,9205.09,1295.27,7.11,45,49,45,14.3,20724.33
2024-12,287,15,12,1,154901.01,539.72,7144.42,1617.56,0.0423,0.0036,8941.44,814.02,10.98,50,94,86,18.0,12210.34
2025-01,290,14,11,0,156721.36,540.42,3537.9,2240.88,0.0383,0.0327,9870.01,1010.17,9.77,60,93,80,18.6,14142.37
2025-02,302,24,15,3,164643.46,545.18,4657.74,1895.48,0.0512,0.0285,7454.39,522.57,14.26,57,85,76,9.5,12541.71
2025-03,307,14,9,0,172727.38,562.63,5944.43,1661.18,0.0298,0.0022,13215.55,1035.58,12.76,52,57,52,14.4,14498.06
2025-04,320,21,10,2,181183.92,566.2,4131.01,2553.29,0.0324,0.0193,12246.9,800.65,15.3,58,53,51,18.4,16813.58
2025-05,335,23,8,0,191288.75,571.01,6370.23,3583.75,0.025,0.0105,15988.31,763.38,20.94,43,80,73,33.8,17557.68
2025-06,343,17,10,1,200841.0,585.54,5491.52,1124.25,0.0298,0.0042,13771.95,1018.31,13.52,53,72,61,6.9,17311.26
2025-07,353,22,13,1,211014.01,597.77,4567.3,1208.94,0.0378,0.0195,11072.6,582.72,19.0,50,119,111,16.7,12819.83
2025-08,360,15,9,1,225871.5,627.42,12109.72,1701.59,0.0254,-0.0235,17274.99,1301.24,13.28,58,82,77,16.7,19518.64
2025-09,370,23,13,0,233750.23,631.76,5179.33,1851.54,0.0361,0.0237,12246.37,884.24,13.85,55,120,117,16.0,20337.45
2025-10,381,17,8,2,245285.71,643.79,9620.61,3510.45,0.0215,-0.0025,20955.51,1142.6,18.34,69,65,63,17.0,19424.17
2025-11,387,19,14,1,259393.73,670.27,11946.51,1975.52,0.0366,-0.0053,12802.12,854.51,14.98,50,95,93,19.2,16235.76
